Date,Type,Link
2024-04-28 22:47:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7190372398792126464
2024-04-27 19:43:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7189744889754972160
2024-04-27 19:41:56,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A101591-7189885690707398656
2024-04-25 21:48:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7189174692463697920
2024-04-25 17:12:50,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7189281238233337857
2024-04-25 03:27:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A10447580-7188533776665264128
2024-04-23 20:18:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7188564999445839875
2024-04-23 06:24:22,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A13927028-7188414512759279617
2024-04-22 10:15:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A101591-7187508299699802112
2024-04-21 19:45:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A10447580-7187512655404765184
2024-04-21 00:00:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7187314043106287616
2024-04-17 19:28:43,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7186408936567181313
2024-04-17 13:40:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7186332617527484418
2024-04-17 01:23:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7186171353350201344
2024-04-15 19:16:21,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A14360137-7185619613710254080
2024-04-14 19:46:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7185336892622524417
2024-04-14 19:44:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184943419721433088
2024-04-13 22:45:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184941098815881216
2024-04-13 13:34:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7184745143676145664
2024-04-08 19:55:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7182989254862548994
2024-04-08 19:55:28,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7182621436262367232
2024-04-08 19:54:11,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2066905-7183176356841635841
2024-04-08 19:50:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7181676946840268800
2024-04-08 19:42:36,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7183132254779387905
2024-04-04 04:26:51,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A4314060-7181499708660412416
2024-04-04 04:24:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7178938709357068288
2024-03-27 18:37:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7178775881576820737
2024-03-22 11:25:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7176503123723603968
2024-03-21 05:29:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7176244142753120256
2024-03-20 08:08:13,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7176118765028270083
2024-03-18 05:29:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7175325313185259520
2024-03-18 05:27:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7174663248607158274?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7174663248607158274%2C7174828323653443584%29
2024-03-17 07:24:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7170676995171807232
